cv_id,jd_id,cv_group,jd_group,job_title,tfidf_score,sbert_score,bge_score,e5_score,gte_score,section_score,requirement_score,llm_score,pseudo_label_score,method_disagreement,pseudo_label,method_errors
resume_custom_05148,jd_custom_00808,Finance,Technology,Wordpress Developer,1.8913,42.5771,,,,71.2936,23.75,,34.878,29.4241,good_candidate,"bge_score: Skipped by method selection.; e5_score: Skipped by method selection.; gte_score: Skipped by method selection.; llm_score: Skipped by default because 10,000 local LLM calls are too slow. Rerun with --include-llm if needed."
resume_custom_05148,jd_custom_02008,Finance,Construction,Sr. Estimator - commercial construction - Orlando,2.0145,34.6754,,,,67.3377,24.1177,,32.0363,27.1856,good_candidate,"bge_score: Skipped by method selection.; e5_score: Skipped by method selection.; gte_score: Skipped by method selection.; llm_score: Skipped by default because 10,000 local LLM calls are too slow. Rerun with --include-llm if needed."
resume_custom_05148,jd_custom_03669,Finance,Science,UA Monitor Job in Las Vegas,1.6575,27.4892,,,,63.7446,2.8571,,23.9371,29.0861,average_candidate,"bge_score: Skipped by method selection.; e5_score: Skipped by method selection.; gte_score: Skipped by method selection.; llm_score: Skipped by default because 10,000 local LLM calls are too slow. Rerun with --include-llm if needed."
resume_custom_05148,jd_custom_02001,Finance,Administrative,Executive Assistant (Spanish Bilingual Preferred) Job in Coppell,3.6125,46.0792,,,,73.0396,3.9474,,31.6697,34.0335,good_candidate,"bge_score: Skipped by method selection.; e5_score: Skipped by method selection.; gte_score: Skipped by method selection.; llm_score: Skipped by default because 10,000 local LLM calls are too slow. Rerun with --include-llm if needed."
resume_custom_05148,jd_custom_02319,Finance,Engineering,Japanese Translator Job in Knoxville,1.5487,29.5426,,,,64.7713,2.0,,24.4657,29.8899,average_candidate,"bge_score: Skipped by method selection.; e5_score: Skipped by method selection.; gte_score: Skipped by method selection.; llm_score: Skipped by default because 10,000 local LLM calls are too slow. Rerun with --include-llm if needed."
resume_custom_05148,jd_custom_03125,Finance,Marketing,Administrative Assistant - Account Transitions Job in Dallas,3.6104,41.0027,,,,70.5014,23.2609,,34.5939,28.395,good_candidate,"bge_score: Skipped by method selection.; e5_score: Skipped by method selection.; gte_score: Skipped by method selection.; llm_score: Skipped by default because 10,000 local LLM calls are too slow. Rerun with --include-llm if needed."
resume_custom_05148,jd_custom_03443,Finance,Other,Pet Groomer / Pet Stylist ** Excellent Pay ** Job in Fairfax,1.3501,18.2141,,,,59.107,4.1667,,20.7095,26.6399,bad_candidate,"bge_score: Skipped by method selection.; e5_score: Skipped by method selection.; gte_score: Skipped by method selection.; llm_score: Skipped by default because 10,000 local LLM calls are too slow. Rerun with --include-llm if needed."
resume_custom_05148,jd_custom_03077,Finance,Manufacturing,Quality Assurance Technician,1.4507,34.2705,,,,67.1353,20.0,,30.7141,27.7506,good_candidate,"bge_score: Skipped by method selection.; e5_score: Skipped by method selection.; gte_score: Skipped by method selection.; llm_score: Skipped by default because 10,000 local LLM calls are too slow. Rerun with --include-llm if needed."
resume_custom_05148,jd_custom_02759,Finance,Human Resources,Human Resources Coordinator Job in Indianapolis,2.3828,35.5743,,,,67.7872,22.5,,32.0611,27.4525,good_candidate,"bge_score: Skipped by method selection.; e5_score: Skipped by method selection.; gte_score: Skipped by method selection.; llm_score: Skipped by default because 10,000 local LLM calls are too slow. Rerun with --include-llm if needed."
resume_custom_05148,jd_custom_02405,Finance,Finance,Underwriting Specialist Job in Dallas,4.1503,39.7317,,,,69.8658,22.8,,34.1369,27.9021,good_candidate,"bge_score: Skipped by method selection.; e5_score: Skipped by method selection.; gte_score: Skipped by method selection.; llm_score: Skipped by default because 10,000 local LLM calls are too slow. Rerun with --include-llm if needed."
resume_custom_05148,jd_custom_02650,Finance,Healthcare,Monster,5.5855,46.2359,,,,73.118,25.0,,37.4848,28.9813,good_candidate,"bge_score: Skipped by method selection.; e5_score: Skipped by method selection.; gte_score: Skipped by method selection.; llm_score: Skipped by default because 10,000 local LLM calls are too slow. Rerun with --include-llm if needed."
resume_custom_05148,jd_custom_03637,Finance,Sales,Restaurant General Manager Job in Ft. Lauderdale,4.5792,34.5801,,,,67.2901,25.0,,32.8624,26.1405,good_candidate,"bge_score: Skipped by method selection.; e5_score: Skipped by method selection.; gte_score: Skipped by method selection.; llm_score: Skipped by default because 10,000 local LLM calls are too slow. Rerun with --include-llm if needed."
resume_custom_05148,jd_custom_02805,Finance,Legal,Corporate Merger and Acquisitions Associate Job in Los Angeles,1.2111,23.3462,,,,61.6731,25.0,,27.8076,25.0468,good_candidate,"bge_score: Skipped by method selection.; e5_score: Skipped by method selection.; gte_score: Skipped by method selection.; llm_score: Skipped by default because 10,000 local LLM calls are too slow. Rerun with --include-llm if needed."
resume_custom_05148,jd_custom_02223,Finance,Customer Support,Food Service Worker - UC Papa John's Job in Cincinnati,1.8451,20.6951,,,,60.3475,2.9167,,21.4511,27.3339,average_candidate,"bge_score: Skipped by method selection.; e5_score: Skipped by method selection.; gte_score: Skipped by method selection.; llm_score: Skipped by default because 10,000 local LLM calls are too slow. Rerun with --include-llm if needed."
resume_custom_05148,jd_custom_02258,Finance,Education,"Maryville College Job Application for Instructor of Chemistry | Monster.com var MONS_LOG_VARS = {""JobID"":",2.1124,10.9845,,,,55.4922,2.1875,,17.6941,25.5405,bad_candidate,"bge_score: Skipped by method selection.; e5_score: Skipped by method selection.; gte_score: Skipped by method selection.; llm_score: Skipped by default because 10,000 local LLM calls are too slow. Rerun with --include-llm if needed."
resume_custom_05148,jd_custom_02035,Finance,Creative Media,General Maintenance Technician Job in Corinth,1.6423,34.0942,,,,67.0471,4.0,,26.6959,30.6906,good_candidate,"bge_score: Skipped by method selection.; e5_score: Skipped by method selection.; gte_score: Skipped by method selection.; llm_score: Skipped by default because 10,000 local LLM calls are too slow. Rerun with --include-llm if needed."
resume_custom_05148,jd_custom_02732,Finance,Hospitality,Busser / Runner Job in Saint Helena,1.279,20.9366,,,,60.4683,2.0,,21.171,27.7342,average_candidate,"bge_score: Skipped by method selection.; e5_score: Skipped by method selection.; gte_score: Skipped by method selection.; llm_score: Skipped by default because 10,000 local LLM calls are too slow. Rerun with --include-llm if needed."
resume_custom_05148,jd_custom_02831,Finance,Logistics,Security Officer-Kansas City,2.8178,17.5897,,,,58.7949,13.75,,23.2381,24.5167,bad_candidate,"bge_score: Skipped by method selection.; e5_score: Skipped by method selection.; gte_score: Skipped by method selection.; llm_score: Skipped by default because 10,000 local LLM calls are too slow. Rerun with --include-llm if needed."
resume_custom_05148,jd_custom_03398,Finance,Operations,Maintenance Controller - Las Vegas,2.6148,39.6183,,,,69.8092,4.5455,,29.1469,32.0013,uncertain_candidate,"bge_score: Skipped by method selection.; e5_score: Skipped by method selection.; gte_score: Skipped by method selection.; llm_score: Skipped by default because 10,000 local LLM calls are too slow. Rerun with --include-llm if needed."
resume_custom_05148,jd_custom_00616,Finance,Technology,iOS Developer,1.9385,23.4286,,,,61.7143,22.6316,,27.4282,24.9283,average_candidate,"bge_score: Skipped by method selection.; e5_score: Skipped by method selection.; gte_score: Skipped by method selection.; llm_score: Skipped by default because 10,000 local LLM calls are too slow. Rerun with --include-llm if needed."
resume_custom_05148,jd_custom_02005,Finance,Construction,"Brixmor Job Application for Entry Level Construction Coordinator | Monster.com var MONS_LOG_VARS = {""JobID"":",2.5327,31.8016,,,,65.9008,25.0,,31.3088,26.2343,good_candidate,"bge_score: Skipped by method selection.; e5_score: Skipped by method selection.; gte_score: Skipped by method selection.; llm_score: Skipped by default because 10,000 local LLM calls are too slow. Rerun with --include-llm if needed."
resume_custom_05148,jd_custom_03666,Finance,Science,Business Analyst Job in Doylestown,2.8629,40.9972,,,,70.4986,22.5926,,34.2378,28.7549,good_candidate,"bge_score: Skipped by method selection.; e5_score: Skipped by method selection.; gte_score: Skipped by method selection.; llm_score: Skipped by default because 10,000 local LLM calls are too slow. Rerun with --include-llm if needed."
resume_custom_05148,jd_custom_02309,Finance,Engineering,Cisco Voice Design Engineer Job in Lynchburg,2.8525,42.1007,,,,71.0504,14.5833,,32.6467,30.4314,good_candidate,"bge_score: Skipped by method selection.; e5_score: Skipped by method selection.; gte_score: Skipped by method selection.; llm_score: Skipped by default because 10,000 local LLM calls are too slow. Rerun with --include-llm if needed."
